CS,alt1_D2D,alt1_D,alt1_TS,alt1_T2DR,alt1_T2DS,alt2_D2D,alt2_D,alt2_TS,alt2_T2DR,alt2_T2DS,alt3_D2D,alt3_D,alt3_TS,alt3_T2DR,alt3_T2DS
1,70,10,0,1,0,30,50,1,1,10,10,0,1,1,10
2,0,0,0,4,0,0,50,1,4,10,30,25,0,4,0
3,30,0,0,2,0,70,50,0,2,0,10,25,1,2,5
4,0,0,0,4,0,70,25,1,4,5,70,10,0,4,0
5,0,10,1,4,10,10,25,0,4,0,0,0,0,4,0
6,10,10,1,1,5,0,0,0,1,0,70,50,1,1,10
7,0,0,1,4,10,30,25,1,4,10,70,25,0,4,0
8,0,0,1,4,10,30,25,0,4,0,10,50,1,4,5
9,10,0,0,4,0,30,25,1,4,5,0,10,1,4,5
10,10,50,1,2,5,30,10,0,2,0,0,0,1,2,10
11,30,25,1,4,10,10,0,1,4,5,70,50,0,4,0
12,30,10,1,1,10,10,0,1,1,5,70,25,1,1,5
