CS,alt1_D2E,alt1_D2D,alt1_O,alt1_CD,alt1_CP,alt1_CrowdingRed,alt1_CrowdingGreen,alt1_CIL,alt1_CID,alt1_D,alt1_RC,alt2_D2E,alt2_D2D,alt2_O,alt2_CD,alt2_CP,alt2_CrowdingRed,alt2_CrowdingGreen,alt2_CIL,alt2_CID,alt2_D,alt2_RC
1,80,10,0,0,4,0,1,1,0,25,0,0,30,1,10,4,0,0,1,1,50,1
2,0,70,1,10,4,1,0,1,0,25,0,80,0,0,0,1,0,1,1,1,25,1
3,40,10,0,10,4,0,0,1,1,25,0,0,70,0,0,4,0,0,1,0,50,0
4,0,70,1,10,4,1,0,0,1,10,1,80,0,0,5,4,0,1,0,1,50,0
5,40,70,1,0,4,0,1,0,1,10,0,80,0,1,10,4,0,0,1,0,25,1
6,80,70,1,10,4,1,0,0,1,10,1,0,0,0,5,4,0,1,1,0,0,0
7,0,10,1,5,4,0,1,1,0,50,1,80,0,0,10,1,1,0,1,1,50,1
8,40,0,0,0,1,0,0,1,0,50,1,0,10,1,5,1,0,0,1,1,10,0
9,80,30,1,10,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,1
10,40,10,0,5,4,1,0,0,1,10,1,40,70,0,5,4,0,0,1,1,10,0
11,40,70,1,10,4,1,0,0,1,10,1,80,10,0,0,4,0,1,1,0,10,0
12,40,70,0,10,4,0,1,1,0,25,0,40,10,0,0,4,1,0,1,1,50,1
13,40,0,0,5,1,0,0,1,1,0,1,40,30,1,5,4,0,0,0,0,10,1
14,80,30,1,5,1,0,0,1,1,10,1,0,0,1,0,1,1,0,1,0,0,1
15,0,0,0,5,1,0,1,1,1,50,0,40,10,1,0,4,0,0,0,1,10,0
16,0,70,1,0,4,0,1,1,1,50,1,80,30,1,10,1,0,0,1,0,25,0
17,80,30,0,0,4,0,1,1,0,25,1,0,0,0,10,1,1,0,0,1,0,1
18,80,70,1,10,4,1,0,0,1,10,1,40,0,0,5,4,0,1,1,0,10,0
19,80,10,0,5,4,1,0,1,1,25,1,0,30,0,5,4,0,1,1,0,50,0
20,40,0,0,0,1,0,0,1,0,10,1,40,10,0,10,4,0,1,0,1,10,0
21,80,70,1,5,1,0,0,0,1,10,1,0,0,0,0,1,1,0,1,0,0,0
22,80,70,1,10,1,1,0,0,1,10,0,0,0,0,0,1,0,0,0,0,0,1
23,40,0,0,0,1,0,0,1,1,50,0,40,70,0,5,1,0,1,0,1,0,1
24,0,0,0,0,1,0,0,0,0,50,0,80,70,1,5,1,0,0,1,1,0,1
